,Title,Genre,Premiere,Runtime,IMDB Score,Language,Premiere Year
176,Rajma Chawal,Comedy-drama,2018-11-30,118,5.8,Hindi,2018
177,Rich in Love,Romantic comedy,2020-04-30,105,5.8,Portuguese,2020
184,The After Party,Comedy,2018-08-24,89,5.8,English,2018
187,The Kissing Booth 2,Romantic comedy,2020-07-24,131,5.8,English,2020
188,The Perfect Date,Romantic comedy,2019-04-12,89,5.8,English,2019
189,What We Wanted,Drama,2020-11-11,93,5.8,German,2020
190,You've Got This,Romantic comedy,2020-10-02,111,5.8,Spanish,2020
191,6 Balloons,Drama,2018-04-06,75,5.9,English,2018
192,A Fall from Grace,Thriller,2020-01-17,120,5.9,English,2020
198,Horse Girl,Drama,2020-02-07,104,5.9,English,2020
199,Notes from Dunblane: Lesson from a School Shooting,Documentary,2018-09-28,23,5.9,English,2018
200,Maska,Romantic comedy,2020-03-27,111,5.9,Hindi,2020
201,The Decline,Thriller,2020-03-27,83,5.9,French,2020
202,The Minimalists: Less Is Now,Documentary,2021-01-01,53,5.9,English,2021
203,The Polka King,Comedy-drama,2018-01-12,95,5.9,English,2018
207,Come Sunday,Biopic,2018-04-13,106,6.0,English,2018
208,Forgive Us Our Debts,Drama,2018-05-04,104,6.0,Italian,2018
210,Lovefucked,Drama,2019-08-09,106,6.0,Hindi,2019
211,Juanita,Drama,2019-03-08,90,6.0,English,2019
216,The Kissing Booth,Romantic comedy,2018-05-11,105,6.0,English,2018
217,The Princess Switch,Romantic comedy,2018-11-16,101,6.0,English,2018
218,To All the Boys: P.S. I Still Love You,Romantic comedy,2020-02-12,102,6.0,English,2020
220,6 Underground,Action,2019-12-13,128,6.1,English,2019
221,Between Two Ferns: The Movie,Comedy,2019-09-20,82,6.1,English,2019
222,Burning Sands,Drama,2017-03-10,102,6.1,English,2017
223,Casting JonBenet,Documentary,2017-04-28,80,6.1,English,2017
224,Deidra & Laney Rob a Train,Drama,2017-03-17,94,6.1,English,2017
228,Hot Girls Wanted,Documentary,2015-05-29,84,6.1,English,2015
229,Like Father,Comedy,2018-08-03,103,6.1,English,2018
230,Lost Girls,Crime drama,2020-03-13,95,6.1,English,2020
231,Otherhood,Comedy,2019-08-02,100,6.1,English,2019
233,Rogue City,Crime drama,2020-10-30,116,6.1,French,2020
234,Sergio,Biopic,2020-04-17,118,6.1,English,2020
235,Stuck Apart,Drama,2021-01-08,96,6.1,Turkish,2021
236,Tersanjung the Movie,Drama,2021-04-01,114,6.1,Indonesian,2021
238,The Lovebirds,Romantic comedy,2020-05-22,87,6.1,English,2020
239,The Most Hated Woman in America,Biopic,2017-03-24,92,6.1,English,2017
241,Tribhanga  Tedhi Medhi Crazy,Drama,2021-01-15,95,6.1,Hindi,2021
242,Unknown Origins,Thriller,2020-08-28,96,6.1,Spanish,2020
